                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0171,                 2.5551,                 1.1408,                0.88185,                0.25157,                0.40948,                0.25548,                 1.0898,                 2.8208,                 1.3107,             0.00040972,             0.00040972,             0.00040972
                      2,                0.87236,                 1.4354,                 1.0584,                0.55875,                0.53744,                0.64017,                0.34609,                 1.0652,                 1.9952,                 1.2433,             0.00081821,             0.00081821,             0.00081821
                      3,                0.92438,                 1.3626,                   1.11,                0.73787,                0.50347,                0.56925,                 0.3504,                 1.0901,                 1.7302,                 1.2069,              0.0012184,              0.0012184,              0.0012184
                      4,                0.90656,                 1.2458,                 1.0691,                0.75816,                 0.4926,                0.55126,                0.36105,                 1.0897,                 1.4728,                 1.2422,              0.0012129,              0.0012129,              0.0012129
                      5,                0.86705,                 1.1099,                 1.0628,                0.71808,                0.53484,                0.61341,                0.40034,                 1.0235,                 1.4847,                 1.2251,              0.0012005,              0.0012005,              0.0012005
                      6,                0.81724,                0.97902,                 1.0464,                0.57334,                0.62431,                0.59905,                0.38954,                 1.0634,                 1.2304,                  1.201,              0.0011881,              0.0011881,              0.0011881
                      7,                0.79594,                0.91525,                 1.0306,                0.68474,                0.81528,                0.70442,                0.45674,                0.97881,                  1.023,                 1.1647,              0.0011757,              0.0011757,              0.0011757
                      8,                0.79283,                0.87467,                 1.0455,                0.70317,                0.85908,                0.73785,                0.47061,                 0.9699,                0.98475,                 1.1642,              0.0011634,              0.0011634,              0.0011634
                      9,                0.76623,                0.82849,                 1.0335,                0.90718,                0.48962,                0.71819,                0.50313,                0.91585,                 1.2664,                 1.1122,               0.001151,               0.001151,               0.001151
                     10,                0.77643,                0.80554,                 1.0327,                0.95191,                0.60386,                0.72778,                0.47944,                 0.9721,                0.91992,                 1.1648,              0.0011386,              0.0011386,              0.0011386
                     11,                0.71984,                 0.7221,                 1.0008,                0.92167,                0.59621,                0.70815,                0.48378,                0.93194,                 0.8246,                 1.1447,              0.0011263,              0.0011263,              0.0011263
                     12,                 0.7262,                0.71893,                 1.0067,                0.71873,                0.83008,                0.79666,                0.52333,                0.91533,                0.83788,                 1.1109,              0.0011139,              0.0011139,              0.0011139
                     13,                0.71434,                0.68061,                  1.009,                0.70152,                0.72599,                0.76979,                0.53265,                0.90237,                0.83347,                 1.1091,              0.0011015,              0.0011015,              0.0011015
                     14,                0.71117,                0.68125,                 1.0051,                 0.8838,                0.86087,                0.91312,                0.58841,                0.90759,                0.90039,                 1.1343,              0.0010891,              0.0010891,              0.0010891
                     15,                0.67388,                0.64589,                0.98804,                0.87964,                0.59355,                0.79144,                 0.4733,                0.92447,                0.90612,                 1.1161,              0.0010768,              0.0010768,              0.0010768
                     16,                0.68113,                  0.638,                0.98525,                 0.7967,                0.81934,                0.83502,                 0.5379,                0.90085,                0.97649,                 1.1044,              0.0010644,              0.0010644,              0.0010644
                     17,                0.65899,                0.62551,                0.98752,                0.90461,                 0.7405,                 0.8549,                0.54018,                 0.9102,                 0.8472,                 1.1142,               0.001052,               0.001052,               0.001052
                     18,                0.67247,                0.60811,                0.97852,                0.90213,                0.71115,                0.86297,                0.53659,                0.94991,                0.93383,                 1.1961,              0.0010396,              0.0010396,              0.0010396
                     19,                0.66423,                0.61388,                0.97538,                0.92431,                0.82684,                0.92488,                0.60102,                0.85646,                0.72821,                 1.0759,              0.0010273,              0.0010273,              0.0010273
                     20,                   0.65,                0.57774,                 0.9704,                0.88468,                0.82827,                0.90364,                0.56315,                0.91092,                0.81968,                  1.102,              0.0010149,              0.0010149,              0.0010149
                     21,                 0.6193,                0.54566,                0.95969,                0.83521,                0.89255,                0.90096,                0.59848,                 0.9054,                0.76448,                 1.1398,              0.0010025,              0.0010025,              0.0010025
                     22,                0.64307,                0.55579,                0.96937,                 0.7189,                 0.8831,                0.83849,                0.56309,                0.89559,                0.77491,                 1.1232,             0.00099013,             0.00099013,             0.00099013
                     23,                0.63487,                0.55873,                0.96418,                0.89016,                0.79248,                0.88673,                0.60191,                0.84944,                 0.7598,                 1.1007,             0.00097775,             0.00097775,             0.00097775
                     24,                0.61072,                0.54343,                0.95363,                0.86801,                0.74923,                0.84468,                0.56963,                0.86996,                0.72304,                 1.0935,             0.00096537,             0.00096537,             0.00096537
                     25,                0.61703,                0.52477,                0.95355,                0.84617,                0.79485,                0.88913,                0.61074,                0.84168,                0.69323,                 1.0994,               0.000953,               0.000953,               0.000953
                     26,                0.62157,                0.54367,                0.96277,                 0.7683,                 0.7762,                0.81503,                 0.5526,                0.85633,                0.76399,                 1.0701,             0.00094062,             0.00094062,             0.00094062
                     27,                0.57851,                0.50132,                0.94306,                0.90744,                0.75662,                0.91889,                0.62051,                0.87686,                0.74636,                 1.1018,             0.00092825,             0.00092825,             0.00092825
                     28,                0.58784,                 0.5067,                0.94503,                0.88481,                0.84857,                0.91799,                0.60273,                0.81605,                0.65131,                 1.0656,             0.00091588,             0.00091588,             0.00091588
                     29,                0.56667,                0.48315,                0.93448,                0.82303,                0.77496,                 0.8342,                0.58335,                0.85141,                0.79557,                  1.115,              0.0009035,              0.0009035,              0.0009035
                     30,                0.57923,                0.49136,                0.93872,                 0.8628,                0.77484,                0.84705,                0.58541,                0.86668,                0.69959,                 1.0825,             0.00089112,             0.00089112,             0.00089112
                     31,                0.57566,                 0.4953,                 0.9448,                0.89505,                0.81209,                 0.9142,                0.63069,                0.79136,                 0.6477,                 1.0463,             0.00087875,             0.00087875,             0.00087875
                     32,                0.57272,                0.47651,                0.93651,                0.78722,                0.77929,                0.81099,                0.60255,                0.84567,                0.76383,                 1.0913,             0.00086637,             0.00086637,             0.00086637
                     33,                 0.5749,                0.49542,                0.93722,                0.87625,                0.83077,                0.91336,                0.61391,                0.86202,                0.71692,                 1.0913,               0.000854,               0.000854,               0.000854
                     34,                0.54567,                0.46561,                0.93514,                0.87478,                0.80629,                 0.8941,                0.58925,                 0.8459,                0.72565,                 1.0819,             0.00084162,             0.00084162,             0.00084162
                     35,                0.56147,                0.46135,                0.93341,                  0.765,                0.87019,                0.87484,                0.58552,                0.84377,                 0.7691,                 1.0707,             0.00082925,             0.00082925,             0.00082925
                     36,                0.54397,                0.44845,                0.92069,                0.83915,                0.84501,                0.90282,                0.61725,                 0.8251,                0.69654,                 1.0608,             0.00081688,             0.00081688,             0.00081688
                     37,                0.54101,                0.46307,                0.92392,                0.85885,                0.86324,                0.89545,                0.64099,                0.79986,                0.67691,                  1.053,              0.0008045,              0.0008045,              0.0008045
                     38,                0.54843,                0.45733,                0.92602,                 0.7252,                  0.907,                0.85229,                0.57832,                0.79141,                0.64845,                 1.0604,             0.00079213,             0.00079213,             0.00079213
                     39,                0.52957,                0.44918,                0.93029,                0.86813,                0.85277,                0.88443,                 0.6262,                0.78655,                0.64776,                  1.064,             0.00077975,             0.00077975,             0.00077975
                     40,                0.52669,                0.44483,                0.91645,                0.89435,                0.85692,                0.91344,                0.61781,                0.79043,                0.67207,                 1.0669,             0.00076738,             0.00076738,             0.00076738
                     41,                 0.5154,                 0.4504,                0.91925,                0.89385,                0.74497,                0.86581,                0.61862,                0.79241,                 0.7321,                   1.03,               0.000755,               0.000755,               0.000755
                     42,                0.52354,                0.44181,                0.92031,                0.80487,                 0.7581,                0.85409,                0.56674,                 0.8227,                0.70729,                 1.0747,             0.00074263,             0.00074263,             0.00074263
                     43,                0.52634,                0.44102,                0.92362,                0.90447,                0.70579,                0.87956,                0.58912,                0.80941,                0.68753,                 1.0689,             0.00073025,             0.00073025,             0.00073025
                     44,                0.51787,                0.43916,                0.92312,                0.91188,                0.84948,                0.90162,                0.60621,                0.83331,                0.71175,                 1.0738,             0.00071788,             0.00071788,             0.00071788
                     45,                0.52093,                0.42903,                0.91539,                 0.8562,                0.84838,                0.90102,                0.60175,                0.78289,                0.62936,                  1.044,              0.0007055,              0.0007055,              0.0007055
                     46,                0.52799,                0.42761,                0.91886,                0.86809,                0.86367,                0.91492,                0.57307,                0.85264,                0.66285,                 1.1038,             0.00069313,             0.00069313,             0.00069313
                     47,                0.50058,                0.41949,                0.91262,                0.90798,                0.87253,                0.94028,                0.68777,                 0.8038,                0.59355,                 1.0932,             0.00068075,             0.00068075,             0.00068075
                     48,                0.50571,                0.41867,                0.91477,                 0.8711,                0.83833,                0.93101,                0.64603,                0.73677,                0.60724,                 1.0297,             0.00066838,             0.00066838,             0.00066838
                     49,                0.50415,                0.40981,                0.91552,                0.89952,                0.75872,                0.90341,                0.65415,                0.76787,                0.65576,                 1.0417,               0.000656,               0.000656,               0.000656
                     50,                0.48565,                0.39989,                0.90144,                0.91001,                 0.8826,                0.94181,                0.71353,                0.77271,                0.61893,                 1.0453,             0.00064362,             0.00064362,             0.00064362
                     51,                0.49277,                0.39347,                0.90507,                0.91436,                0.85799,                0.93551,                0.66146,                0.76432,                0.59111,                 1.0495,             0.00063125,             0.00063125,             0.00063125
                     52,                0.49474,                0.40157,                0.90944,                0.93273,                0.84388,                0.94298,                0.68265,                0.78066,                0.62749,                 1.0432,             0.00061887,             0.00061887,             0.00061887
                     53,                  0.485,                0.39235,                0.90149,                0.92822,                0.79689,                0.87305,                0.63509,                0.78247,                 0.5992,                 1.0604,              0.0006065,              0.0006065,              0.0006065
                     54,                 0.5072,                0.40309,                0.91643,                0.93431,                 0.8011,                 0.9344,                0.64196,                0.74739,                0.62129,                  1.022,             0.00059413,             0.00059413,             0.00059413
                     55,                0.47017,                0.38164,                0.90323,                0.91535,                0.84803,                0.93783,                0.65253,                0.78148,                0.60398,                 1.0446,             0.00058175,             0.00058175,             0.00058175
                     56,                0.49031,                0.38951,                0.91292,                0.80507,                0.86299,                0.88617,                0.57244,                0.79183,                0.67543,                 1.0458,             0.00056938,             0.00056938,             0.00056938
                     57,                0.48791,                0.39116,                0.90971,                0.93419,                0.91119,                0.92317,                0.66711,                0.74854,                0.59078,                 1.0337,               0.000557,               0.000557,               0.000557
                     58,                0.47298,                 0.3813,                0.90296,                 0.8974,                0.90495,                0.94144,                0.68772,                0.74728,                0.55395,                 1.0241,             0.00054463,             0.00054463,             0.00054463
                     59,                0.44981,                0.37696,                0.89801,                0.93637,                 0.8282,                0.94371,                0.67483,                0.79376,                0.62543,                 1.0488,             0.00053225,             0.00053225,             0.00053225
                     60,                0.48247,                0.38499,                0.90486,                 0.9318,                0.91557,                0.94085,                0.65234,                0.77513,                0.56446,                 1.0734,             0.00051988,             0.00051988,             0.00051988
                     61,                0.46544,                0.36337,                0.89423,                0.84515,                   0.87,                0.91763,                0.66185,                0.75253,                0.54058,                 1.0504,              0.0005075,              0.0005075,              0.0005075
                     62,                 0.4653,                0.37409,                0.89687,                0.92208,                0.88514,                0.93973,                0.70196,                0.75357,                0.56556,                 1.0534,             0.00049513,             0.00049513,             0.00049513
                     63,                0.46572,                0.36992,                0.89268,                0.88051,                 0.9075,                0.93526,                0.63391,                0.77883,                 0.5523,                 1.0643,             0.00048275,             0.00048275,             0.00048275
                     64,                0.46276,                0.36022,                0.89366,                0.84583,                0.86572,                0.90055,                 0.6507,                0.78939,                0.60136,                 1.0777,             0.00047038,             0.00047038,             0.00047038
                     65,                 0.4441,                 0.3532,                0.88431,                0.89701,                0.84153,                0.90634,                0.69398,                 0.7481,                0.62001,                 1.0418,               0.000458,               0.000458,               0.000458
                     66,                0.45061,                0.35897,                0.89043,                0.92896,                 0.8631,                0.93079,                0.65707,                0.79082,                0.59794,                 1.0781,             0.00044563,             0.00044563,             0.00044563
                     67,                0.44649,                 0.3619,                0.88333,                0.93742,                0.88183,                0.94135,                0.67836,                0.75025,                0.53613,                 1.0562,             0.00043325,             0.00043325,             0.00043325
                     68,                0.45405,                 0.3639,                0.89463,                0.95594,                0.93592,                0.95546,                0.68385,                 0.7538,                 0.4992,                  1.054,             0.00042087,             0.00042087,             0.00042087
                     69,                0.44046,                0.35771,                0.88991,                 0.9451,                0.88614,                0.94558,                0.71704,                0.76862,                0.51451,                 1.0582,              0.0004085,              0.0004085,              0.0004085
                     70,                0.43137,                0.34617,                 0.8813,                0.94956,                0.82505,                0.94835,                0.69759,                0.79474,                0.53803,                 1.0752,             0.00039613,             0.00039613,             0.00039613
                     71,                0.42626,                 0.3447,                 0.8864,                0.93416,                0.87796,                0.94098,                0.69159,                0.74268,                0.52946,                 1.0555,             0.00038375,             0.00038375,             0.00038375
                     72,                0.44316,                 0.3488,                0.88039,                0.93133,                0.85567,                0.92916,                0.70116,                0.74027,                0.54629,                 1.0449,             0.00037138,             0.00037138,             0.00037138
